X,Y,Afstand (kilometers),Elevation 3D RD (referentie) (meters)
97450.14318562353,445236.9390746174,0,-1.2599999904632568
97450.70887104848,445236.37338919245,0.0008,-1.2599999904632568
97450.99171376096,445236.09054648,0.0012000000000000001,-1.2599999904632568
97451.27455647342,445235.8077037675,0.0016,-1.2599999904632568
97451.5573991859,445235.524861055,0.002,-1.2599999904632568
97452.12308461085,445234.95917563007,0.0028,-1.2599999904632568
97452.40592732333,445234.6763329176,0.0031999999999999997,-1.2599999904632568
97452.6887700358,445234.3934902051,0.0036,-1.2599999904632568
97453.25445546074,445233.82780478016,0.004399999999999999,-1.2599999904632568
97453.53729817322,445233.5449620677,0.0048,-1.2599999904632568
97453.8201408857,445233.2621193552,0.005200000000000001,-1.2591922234568313
97454.10298359818,445232.9792766428,0.005600000000000001,-1.2559326750573723
97454.66866902313,445232.41359121783,0.006400000000000001,-1.2419732921577178
97454.95151173559,445232.13074850535,0.006800000000000001,-1.2274337395775956
97455.23435444807,445231.8479057929,0.007200000000000002,-1.2085082484731908
97455.51719716055,445231.5650630804,0.007600000000000003,-1.189073601511916
97456.0828825855,445230.99937765545,0.008400000000000003,-1.1559906429551798
97456.36572529798,445230.71653494297,0.008800000000000002,-1.1423515770271355
97456.64856801044,445230.4336922305,0.009200000000000003,-1.1271929973504995
97456.93141072291,445230.150849518,0.009600000000000003,-1.0890746959738506
97457.49709614787,445229.58516409306,0.010400000000000005,-1.09431137944358
97457.77993886035,445229.3023213806,0.010800000000000004,-1.0835307601589743
97458.06278157282,445229.0194786681,0.011200000000000005,-1.0724453982660924
97458.34562428528,445228.73663595563,0.011600000000000004,-1.0631066191679555
97458.91130971024,445228.1709505307,0.012400000000000007,-1.049629972996475
97459.19415242271,445227.8881078182,0.012800000000000006,-1.047663738047981
97459.47699513519,445227.6052651057,0.013200000000000007,-1.0349350242631292
97459.75983784767,445227.32242239325,0.013600000000000006,-1.0270555866822466
97460.32552327261,445226.7567369683,0.014400000000000008,-1.0236420444332912
97460.60836598508,445226.4738942558,0.014800000000000008,-1.0230086084953096
97460.89120869756,445226.19105154334,0.015200000000000009,-1.0158385767074736
97461.17405141004,445225.90820883086,0.01560000000000001,-0.9975680670856225
97461.73973683499,445225.34252340597,0.016400000000000005,-0.9253395734631382
97462.02257954745,445225.0596806935,0.016800000000000006,-0.8770630366406283
97462.30542225993,445224.776837981,0.017200000000000003,-0.8256458667943136
97462.58826497241,445224.49399526854,0.0176,-0.798115735253117
97463.15395039736,445223.9283098436,0.0184,-0.7360911582730265
97463.43679310984,445223.6454671311,0.018799999999999997,-0.6678225247975166
97463.71963582232,445223.36262441863,0.019199999999999995,-0.6079142902068395
